Year,NOC,Gold,Silver,Bronze,Is_Host,Total_medals,Total_events_4_Years,Total_events_8_Years,Total_events_12_Years,Total_disciplines_4_Years,Total_disciplines_8_Years,Total_disciplines_12_Years,Total_sports_4_Years,Total_sports_8_Years,Total_sports_12_Years,Participants_4_Years,Participants_8_Years,Participants_12_Years,Gold_4_Years,Gold_8_Years,Gold_12_Years,Total_medals_4_Years,Total_medals_8_Years,Total_medals_12_Years
1936,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,AFG,0,0,0,0,0,129,0,0,25,0,0,19,0,0,16,0,0,0,0,0,0,0,0
1968,AFG,0,0,0,0,0,136,0,0,23,0,0,17,0,0,25,0,0,0,0,0,0,0,0
1972,AFG,0,0,0,0,0,151,0,0,23,0,0,17,0,0,12,0,0,0,0,0,0,0,0
1980,AFG,0,0,0,0,0,150,0,0,23,0,0,17,0,0,16,0,0,0,0,0,0,0,0
1988,AFG,0,0,0,0,0,163,129,0,25,25,0,19,19,0,8,16,0,0,0,0,0,0,0
1996,AFG,0,0,0,0,0,172,136,0,24,23,0,18,17,0,5,25,0,0,0,0,0,0,0
2004,AFG,0,0,0,0,0,195,151,0,28,23,0,21,17,0,8,12,0,0,0,0,0,0,0
2008,AFG,0,0,1,0,1,203,150,0,27,23,0,21,17,0,11,16,0,0,0,0,0,0,0
2012,AFG,0,0,1,0,1,237,163,129,31,25,25,23,19,19,5,8,16,0,0,0,0,0,0
2016,AFG,0,0,0,0,0,271,172,136,37,24,23,25,18,17,2,5,25,0,0,0,0,0,0
2020,AFG,0,0,0,0,0,301,195,151,40,28,23,27,21,17,5,8,12,0,0,0,0,0,0
2024,AFG,0,0,0,0,0,302,203,150,42,27,23,27,21,17,4,11,16,0,0,0,1,0,0
1952,AHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,AHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,AHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,AHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,AHO,0,0,0,0,0,149,0,0,23,0,0,17,0,0,11,0,0,0,0,0,0,0,0
1976,AHO,0,0,0,0,0,150,0,0,23,0,0,17,0,0,5,0,0,0,0,0,0,0,0
1984,AHO,0,0,0,0,0,163,0,0,25,0,0,19,0,0,4,0,0,0,0,0,0,0,0
1988,AHO,0,1,0,0,1,172,0,0,24,0,0,18,0,0,5,0,0,0,0,0,0,0,0
1992,AHO,0,0,0,0,0,195,149,0,28,23,0,21,17,0,2,11,0,0,0,0,0,0,0
1996,AHO,0,0,0,0,0,198,150,0,27,23,0,21,17,0,4,5,0,0,0,0,0,0,0
2000,AHO,0,0,0,0,0,221,163,0,29,25,0,21,19,0,13,4,0,0,0,0,0,0,0
2004,AHO,0,0,0,0,0,237,172,0,31,24,0,23,18,0,4,5,0,0,0,0,1,0,0
2008,AHO,0,0,0,0,0,257,195,149,34,28,23,25,21,17,4,2,11,0,0,0,0,0,0
2024,AIN,1,4,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ALB,0,0,0,0,0,195,0,0,28,0,0,21,0,0,5,0,0,0,0,0,0,0,0
2008,ALB,0,0,0,0,0,257,0,0,34,0,0,25,0,0,9,0,0,0,0,0,0,0,0
2012,ALB,0,0,0,0,0,271,0,0,37,0,0,25,0,0,9,0,0,0,0,0,0,0,0
2016,ALB,0,0,0,0,0,300,0,0,40,0,0,27,0,0,5,0,0,0,0,0,0,0,0
2020,ALB,0,0,0,0,0,301,195,0,40,28,0,27,21,0,7,5,0,0,0,0,0,0,0
2024,ALB,0,0,2,0,2,302,257,0,42,34,0,27,25,0,12,9,0,0,0,0,0,0,0
1964,ALG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,ALG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,ALG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,ALG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,ALG,0,0,2,0,2,163,0,0,25,0,0,19,0,0,7,0,0,0,0,0,0,0,0
1988,ALG,0,0,0,0,0,172,0,0,24,0,0,18,0,0,9,0,0,0,0,0,0,0,0
1992,ALG,1,0,1,0,2,195,0,0,28,0,0,21,0,0,7,0,0,0,0,0,0,0,0
1996,ALG,2,0,1,0,3,203,0,0,27,0,0,21,0,0,63,0,0,0,0,0,0,0,0
2000,ALG,1,1,3,0,5,221,163,0,29,25,0,21,19,0,33,7,0,0,0,0,2,0,0
2004,ALG,0,0,0,0,0,237,172,0,31,24,0,23,18,0,45,9,0,0,0,0,0,0,0
2008,ALG,0,1,1,0,2,257,195,0,34,28,0,25,21,0,36,7,0,1,0,0,2,0,0
2012,ALG,1,0,0,0,1,271,203,0,37,27,0,25,21,0,47,63,0,2,0,0,3,0,0
2016,ALG,0,2,0,0,2,300,221,163,40,29,25,27,21,19,51,33,7,1,0,0,5,2,0
2020,ALG,0,0,0,0,0,301,237,172,40,31,24,27,23,18,71,45,9,0,0,0,0,0,0
2024,ALG,2,0,1,0,3,302,257,195,42,34,28,27,25,21,57,36,7,0,1,0,2,2,0
