NOC,Predicted_Total_Medals_2028,Predicted_Gold_2028
USA,231,112
ROC,151,41
FRA,126,41
CHN,99,39
JPN,106,38
GER,96,33
GBR,93,29
AUS,91,27
ITA,75,24
HUN,59,23
KOR,58,19
NED,56,18
CUB,43,17
ESP,56,15
CAN,57,14
DEN,40,14
ARG,37,13
BRA,48,12
SWE,43,12
NOR,31,12
SRB,31,10
ROU,30,9
SUI,30,8
NZL,24,8
UKR,35,7
POL,33,7
BUL,27,6
BEL,24,6
CRO,20,6
FIN,22,5
AUT,18,5
IND,15,5
TUR,15,5
GRE,22,4
POR,15,4
JAM,13,4
KEN,12,4
BLR,20,3
RSA,16,3
MEX,13,3
CZE,12,3
EGY,12,3
PRK,12,3
IRI,11,3
IRL,11,3
KAZ,11,3
CHI,10,3
COL,10,3
ISL,9,3
LUX,9,3
MON,9,3
URU,9,3
PHI,8,3
UZB,8,3
NGR,10,2
INA,8,2
BER,7,2
FIJ,7,2
HKG,7,2
PUR,7,2
SVK,7,2
THA,7,2
TTO,7,2
BAH,6,2
ETH,6,2
HAI,6,2
PAK,6,2
PER,6,2
VEN,6,2
LIE,5,2
MLT,5,2
PAN,5,2
ZIM,4,2
AIN,7,1
AZE,6,1
DOM,6,1
GEO,6,1
ISR,6,1
MAR,6,1
SGP,6,1
TPE,6,1
SLO,5,1
ALG,4,1
CRC,4,1
GUA,4,1
GUY,4,1
MGL,4,1
MYA,4,1
SRI,4,1
TUN,4,1
BOL,3,1
ECU,3,1
GUM,3,1
KOS,3,1
KUW,3,1
QAT,3,1
UAE,3,1
UGA,3,1
BRN,2,1
BUR,2,1
CAF,2,1
CAY,2,1
COD,2,1
GRN,2,1
TOG,2,1
LTU,8,0
ARM,3,0
BOT,3,0
MAS,3,0
MNE,3,0
PAR,3,0
ANG,2,0
ANT,2,0
CIV,2,0
CMR,2,0
EOR,2,0
EST,2,0
GAB,2,0
HON,2,0
IRQ,2,0
JOR,2,0
LBA,2,0
LBN,2,0
PNG,2,0
SEN,2,0
SEY,2,0
SMR,2,0
SSD,2,0
SWZ,2,0
VIE,2,0
ZAM,2,0
AFG,1,0
AND,1,0
ARU,1,0
ASA,1,0
BAN,1,0
BAR,1,0
BEN,1,0
BHU,1,0
BIZ,1,0
BRU,1,0
COK,1,0
CYP,1,0
DJI,1,0
GAM,1,0
GEQ,1,0
GUI,1,0
ISV,1,0
IVB,1,0
KGZ,1,0
KSA,1,0
LAO,1,0
LAT,1,0
LBR,1,0
LCA,1,0
LES,1,0
MAD,1,0
MAW,1,0
MDA,1,0
MDV,1,0
MLI,1,0
MOZ,1,0
MRI,1,0
MTN,1,0
NCA,1,0
NEP,1,0
NIG,1,0
OMA,1,0
RWA,1,0
SAM,1,0
SLE,1,0
SOL,1,0
SOM,1,0
SUD,1,0
SYR,1,0
TAN,1,0
TGA,1,0
TJK,1,0
VAN,1,0
VIN,1,0
ALB,0,0
BDI,0,0
BIH,0,0
CAM,0,0
CGO,0,0
CHA,0,0
COM,0,0
CPV,0,0
DMA,0,0
ERI,0,0
ESA,0,0
FSM,0,0
GBS,0,0
GHA,0,0
KIR,0,0
MHL,0,0
MKD,0,0
NAM,0,0
NRU,0,0
PLE,0,0
PLW,0,0
SKN,0,0
STP,0,0
SUR,0,0
TKM,0,0
TLS,0,0
TUV,0,0
YEM,0,0
